,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9
Cluster 0,4,12,230,290,70,14,0
Cluster 1,2,16,168,417,146,21,0
Cluster 2,5,20,447,407,61,12,0
Cluster 3,0,7,58,238,166,41,0
Cluster 4,2,55,280,142,12,4,0
Cluster 5,4,39,228,377,136,21,1
Cluster 6,3,14,46,327,289,62,4
