Round,J_value,ARI,NMI,Entropia_Condicional,Acuracia,ER,F_measure_Weighted,F_measure_Classe_3,F_measure_Classe_4,F_measure_Classe_5,F_measure_Classe_6,F_measure_Classe_7,F_measure_Classe_8,F_measure_Classe_9,Partition_Coefficient_PC,Modified_PC_MPC,Fuzzy_Jaccard,Fuzzy_Folkes_Mallows,Fuzzy_Rand_Frigui,Fuzzy_Rand_Hullermeier
1,1011.0718641201911,0.020828316899133576,0.039593592530876444,1.7830833258456589,0.472233564720294,0.527766435279706,0.381870100743,0.0,0.012195121951219513,0.35504014272970563,0.6048951048951049,0.024498886414253896,0.0,0.0,0.9949745097560982,0.9941369280487813,0.17327795038607496,0.29813252759764536,0.5974548630757777,0.5973255900544348
2,1069.943007592553,0.00689127448878369,0.02780209314126122,1.8037030112333534,0.4650877909350755,0.5349122090649245,0.3681774124433343,0.0,0.0,0.32532850022655185,0.6047904191616766,0.0,0.0,0.0,0.9894072993422931,0.9876418492326753,0.15573023799863323,0.2742272614823734,0.6000338638981384,0.5990839697822126
3,1011.719224548214,0.015800538439567753,0.03312600923642383,1.7935185747169333,0.45712535728868925,0.5428746427113107,0.32932289305601986,0.0,0.0,0.176697956929873,0.6167309403737763,0.0,0.0,0.0,0.9933455030245406,0.9922364201952973,0.1668989304015505,0.28948930194492056,0.5984419636990147,0.5983306422661367
4,1016.3386768744464,0.021312667476538743,0.03923053558384464,1.7837645379082747,0.4736627194773377,0.5263372805226623,0.3798191914644639,0.0,0.0,0.36160714285714285,0.606684619040076,0.0,0.0,0.0,0.9927913069191581,0.9915898580723511,0.1739287836627944,0.2990084967038794,0.5973217842408302,0.5972070131543883
5,999.0994194670935,0.015961958501510734,0.038262156334888005,1.7814728959207777,0.4714169048591262,0.5285830951408739,0.3678583782792942,0.0,0.0,0.31604696673189825,0.6102319864802581,0.0,0.0,0.0,0.9908108013238609,0.9892792682111711,0.15319547484362234,0.27221043243568493,0.6087023656137494,0.6085805725600167
6,1005.2084825443718,0.01986751316160416,0.042623641595998386,1.7722310377261232,0.4797876684360964,0.5202123315639036,0.3840704963405555,0.0,0.0,0.3599067599067599,0.611875,0.013513513513513514,0.0,0.0,0.9883784354545464,0.9864415080303042,0.15415317116574506,0.27392479797201724,0.6106843327085714,0.6105517276349706
7,1046.469813902362,0.014780619390379866,0.04328574735868329,1.768058480075382,0.472233564720294,0.527766435279706,0.39946077740707636,0.0,0.0,0.479145122371596,0.5725406935598019,0.0,0.0,0.0,0.9902168125574585,0.988586281317035,0.1463601853463262,0.2635399858860259,0.6126753351751488,0.6123451721618044
8,1043.1731465760731,0.019336623062400738,0.0455466086248254,1.7670128815517838,0.48448346263781134,0.5155165373621886,0.42801582563755214,0.0,0.0,0.4247787610619469,0.5983846021653205,0.18439716312056736,0.0,0.0,0.9942104911806338,0.9932455730440727,0.16493310122421334,0.2873722643443829,0.6026568170434654,0.6025419513578589
9,1013.6330925161825,0.02103935977341017,0.045496053789135536,1.77008732608482,0.4734585545120457,0.5265414454879542,0.38254737600724864,0.0,0.0,0.3637984841729826,0.6046068308181096,0.0,0.08421052631578947,0.0,0.9936519159660783,0.9925939019604246,0.1704031394389729,0.29450258373221555,0.5999634082236512,0.599852489490915
10,1062.7242012389065,0.019305737542440866,0.025912505370077332,1.806932443349778,0.44875459371171905,0.551245406288281,0.27800524153843253,0.0,0.0,0.0,0.6195039458850057,0.0,0.0,0.0,0.9924519629926849,0.991193956824799,0.16415621442618142,0.28640910132761854,0.6033504711576428,0.6021799734440516
11,1033.4448182044794,0.01941300789326466,0.04813803886727496,1.762866829300342,0.46182115149040426,0.5381788485095957,0.3835554667449094,0.0,0.0,0.41615853658536583,0.5788497217068646,0.0,0.0,0.0,0.9940627578843381,0.9930732175317277,0.1633573377162798,0.285419721422148,0.6040529418597547,0.6036364570723715
12,1026.2145895848491,0.018026570221680416,0.03592549995994782,1.7881550417808474,0.4679461004491629,0.532053899550837,0.3543300620530177,0.0,0.0,0.26002055498458376,0.6172241561979719,0.0,0.0,0.0,0.9911955541455103,0.9897281465030954,0.17026962310649826,0.2940079729239555,0.5974844527787257,0.597357972524223
13,1026.3646499389035,0.016926502059500963,0.036924539733352066,1.7831955317726622,0.4638628011433238,0.5361371988566762,0.3688551459951922,0.0,0.0,0.3355947535052013,0.5994954273099968,0.0,0.0,0.0,0.9919201649220708,0.990573525742416,0.15705959706886036,0.27716495150963805,0.6065877213996255,0.6065532745271551
14,1032.067727328729,0.017661866541590982,0.023050042793506788,1.8148091414696212,0.45018374846876275,0.5498162515312373,0.28671886667194707,0.0,0.0,0.029216467463479414,0.6195544203207038,0.0,0.0,0.0,0.9834163536424408,0.9806524125828476,0.16728045498135807,0.2901583952359902,0.5995285560338467,0.5972455901623214
15,1016.5070053901272,0.018672233779628542,0.0351911449530573,1.790029558095553,0.458350347080441,0.541649652919559,0.3495948372591609,0.0,0.0,0.25927758535378526,0.6071647274954072,0.0,0.0,0.0,0.993483907858902,0.9923978925020522,0.17306739223889198,0.2976799557074008,0.5960210611369174,0.5959036703727276
16,1002.9886127620924,0.02284360139422151,0.04673683957834721,1.7640281299181364,0.48019599836668025,0.5198040016333197,0.38335764589848303,0.0,0.0,0.3659217877094972,0.6117096018735363,0.0,0.0,0.0,0.9911568407969265,0.9896829809297475,0.15874966373685656,0.280091340651747,0.6098657453409653,0.6097417851299658
17,1051.2526906156552,0.004348762390072406,0.034156423197979034,1.789732741656119,0.4575336872192732,0.5424663127807268,0.38073033598617845,0.0,0.0,0.36385836385836384,0.5858585858585859,0.05336179295624333,0.0,0.0,0.9957659326239422,0.9950602547279326,0.15619379033375044,0.27451810322071,0.5976718607328848,0.5976460069769618
18,1065.7417721281538,0.032385393382545244,0.06437463569903606,1.7176329248725735,0.49101674152715397,0.508983258472846,0.4171804657212401,0.0,0.0,0.5191146881287726,0.5855322204272123,0.0,0.0,0.0,0.9980174516455093,0.9976870269197609,0.14945214168702275,0.2704345147247827,0.6233229584837641,0.623218435645926
