Round,J_value,ARI,NMI,Entropia_Condicional,Acuracia,ER,F_measure_Weighted,F_measure_Classe_3,F_measure_Classe_4,F_measure_Classe_5,F_measure_Classe_6,F_measure_Classe_7,F_measure_Classe_8,F_measure_Classe_9,Partition_Coefficient_PC,Modified_PC_MPC,Fuzzy_Jaccard,Fuzzy_Folkes_Mallows,Fuzzy_Rand_Frigui,Fuzzy_Rand_Hullermeier
1,2202.2233470306096,0.035916708608929954,0.07531782933223184,1.6887391309799427,0.48632094732543896,0.513679052674561,0.3941133843796935,0.0,0.0,0.39546049759930163,0.6160970935803258,0.0,0.0,0.0,0.9947619210836544,0.9938889079309301,0.1353552447202471,0.25491671402277155,0.6349908616025687,0.6330586062122383
2,2220.6248231609807,0.03385289183455952,0.07195533403664438,1.6997698310734788,0.4755002041649653,0.5244997958350347,0.3991606093679576,0.0,0.0,0.46008020415603357,0.5845094664371773,0.0,0.0,0.0,0.9974153228450076,0.9969845433191755,0.14085933798198416,0.260704730150251,0.6300373367742973,0.6289924158484618
3,2218.9676573000374,0.037879241145098275,0.07523156146259954,1.6924936256380032,0.48142098815843204,0.518579011841568,0.40693063155665027,0.0,0.0,0.48695652173913045,0.5840084536808735,0.0,0.0,0.0,0.9971920509440038,0.996724059434671,0.14331660267866353,0.26447261868625294,0.6312658363357956,0.6302285234232334
4,2196.242792584917,0.03322258395572814,0.06898449516969325,1.7016912070090964,0.4797876684360964,0.5202123315639036,0.40135317552858507,0.0,0.0,0.456245325355273,0.5919374043204627,0.0,0.0,0.0,0.993962128218234,0.9929558162546064,0.12926405205342964,0.2472987330491846,0.636989177964285,0.6349118247052563
5,2217.896284326812,0.0342459789802104,0.0726650041264228,1.6974176806503156,0.46876276031033076,0.5312372396896692,0.3677460536433704,0.0,0.0,0.3171307220386975,0.6092632887783649,0.0,0.0,0.0,0.9972519581274693,0.9967939511487142,0.13886335950213186,0.2585061382987565,0.6316229269142474,0.6303873382332831
6,2239.6848176852736,0.035141732290620675,0.06126898420131075,1.7238069035858108,0.45998366680277664,0.5400163331972234,0.36842538935119834,0.0,0.0,0.3425317564607972,0.593939393939394,0.0,0.0,0.0,0.9971403005956991,0.9966636840283156,0.14250286487473302,0.26297753262531853,0.6301068061952146,0.6284779891921463
7,2198.8000607046324,0.03721959506263499,0.07621022969906756,1.684746113996033,0.48019599836668025,0.5198040016333197,0.4050488322588251,0.0,0.0,0.4831541218637993,0.5823355891028978,0.0,0.0,0.0,0.994372881838565,0.9934350288116591,0.13016943300173578,0.24909008619234696,0.6382727921613562,0.6362373687649778
8,2231.0290368363976,0.041288748693984086,0.07112028237568195,1.7029980498419484,0.4748877092690894,0.5251122907309106,0.3721531775330955,0.0,0.0,0.3231064237775647,0.6151229318076388,0.0,0.0,0.0,0.9967925138196498,0.9962579327895915,0.15029972765945948,0.2733545437367134,0.6294537564233393,0.628206197780385
9,2218.937158157861,0.037879697918931976,0.0746166191924877,1.693908820720056,0.4818293180890159,0.5181706819109841,0.40719132358567967,0.0,0.0,0.487260034904014,0.5843881856540084,0.0,0.0,0.0,0.9972818233140986,0.9968287938664484,0.14330534499447753,0.2644544270885171,0.6312572975288958,0.630219639615506
10,2193.6363590354254,0.037462005721662466,0.07254522309002287,1.6936366442453263,0.4850959575336872,0.5149040424663127,0.41093101726917336,0.0,0.0,0.5006887052341598,0.5838201451584352,0.0,0.0,0.0,0.9931339356692276,0.9919895916140988,0.13200576539625633,0.25135419214802035,0.6376268678644784,0.63554941594052
11,2218.806961367017,0.03569384643775686,0.07180086980388425,1.700316060027043,0.47937933850551245,0.5206206614944875,0.40421604259420324,0.0,0.0,0.47764371894960966,0.5841325196163906,0.0,0.0,0.0,0.9976652112999896,0.9972760798499879,0.1425059896882419,0.26311865289684266,0.6305207237354137,0.6294793655762754
12,2219.265558361524,0.036433124185947574,0.07415407507226038,1.6899008179609893,0.48264597795018377,0.5173540220498163,0.40325088945427506,0.0,0.0,0.45740249905338887,0.5953991880920162,0.0,0.0,0.0,0.9943659590862408,0.993426952267281,0.1312650087244697,0.2503258511734681,0.6376103692057818,0.6355749818678391
13,2197.4020023541975,0.034466567014120146,0.07091773102543956,1.6971000307042732,0.48080849326255615,0.5191915067374439,0.40243066339786737,0.0,0.0,0.458955223880597,0.5925421420057893,0.0,0.0,0.0,0.9939251328101022,0.9929126549451193,0.1296577138087513,0.24795240312447842,0.6372484243599433,0.635175498727152
14,2198.8263432071885,0.03559069646055779,0.07409848161212666,1.6899007795356864,0.4740710494079216,0.5259289505920783,0.3616315650680055,0.0,0.0,0.27911749615187276,0.6208358570563295,0.0,0.0,0.0,0.9943695063533805,0.9934310907456105,0.13008809531070947,0.24855778827450328,0.6372702521807526,0.6352348732931297
15,2198.827584597716,0.03492665188842884,0.071754765991717,1.6951834519947397,0.47386688444262964,0.5261331155573703,0.3614949056683664,0.0,0.0,0.2788313685289595,0.6207209936382915,0.0,0.0,0.0,0.9941245740401914,0.9931453363802233,0.13016844313522513,0.24870459819843047,0.637355984553217,0.6353205414608845
16,2216.441273414841,0.0275990529717628,0.05966085739641833,1.723450617328729,0.45998366680277664,0.5400163331972234,0.3869323113596245,0.0,0.0,0.4496235209752599,0.5641915336571826,0.0,0.0,0.0,0.9948812165652664,0.9940280859928108,0.12677757238787166,0.2426895187043665,0.6341833427986557,0.6322726060846648
17,2198.729549409893,0.0350351847791568,0.07356102517542638,1.6910455398228716,0.47386688444262964,0.5261331155573703,0.3611572364191089,0.0,0.0,0.2773497688751926,0.620950650923403,0.0,0.0,0.0,0.9944300861085223,0.9935017671266094,0.12979133675915439,0.2482196696304424,0.6374456937130133,0.6354102783555171
18,2234.1189586671076,0.027049018798979984,0.05124588963110679,1.7461473469233748,0.449162923642303,0.5508370763576971,0.36890504785112915,0.0,0.0,0.37573847971642377,0.5729963418689724,0.0,0.0,0.0,0.9973256301029155,0.9968799017867348,0.13637995309954373,0.25387964686722,0.6280894654662418,0.6270444937739073
19,2193.739510271005,0.03798998881605065,0.0733569205345381,1.6919802455717785,0.48264597795018377,0.5173540220498163,0.40941392280675015,0.0,0.0,0.5022026431718062,0.579435915744377,0.0,0.0,0.0,0.9938286095939705,0.9928000445262989,0.1323327190341187,0.2517569091562909,0.6375110644806627,0.6354337065810836
20,2198.8913703463163,0.03385444525805926,0.07149057907167473,1.695779451003097,0.4748877092690894,0.5251122907309106,0.3992647286491616,0.0,0.0,0.4668125455871627,0.5802787816210635,0.0,0.0,0.0,0.9944330508578251,0.9935052260007959,0.12952616090120914,0.24784378504967255,0.6374255454712793,0.6353901431281956
21,2193.8002478330463,0.03625506934010995,0.07188709666877467,1.6950234307155954,0.48427929767251937,0.5157207023274806,0.40930184461721325,0.0,0.0,0.49175727814801823,0.5861101367941073,0.0,0.0,0.0,0.9941075274473508,0.9931254486885759,0.1307914157883534,0.24961147788608712,0.6374648979946187,0.6353875601223218
22,2198.768160945397,0.035607278691674744,0.07380482211940152,1.6904806931030452,0.47386688444262964,0.5261331155573703,0.36098767521816993,0.0,0.0,0.2766066838046273,0.6210653753026635,0.0,0.0,0.0,0.9943482805586484,0.9934063273184232,0.1297897627277167,0.2482127111291719,0.6374342289747396,0.6353987929540701
23,2194.0174480195283,0.03677771663654609,0.07171197616650325,1.695784898204015,0.4832584728460596,0.5167415271539404,0.4094474380858022,0.0,0.0,0.4987993138936535,0.5817665838949982,0.0,0.0,0.0,0.993416155978833,0.9923188486419718,0.13212762804721023,0.2513166260466219,0.6371257904651912,0.6350484408638961
24,2193.8975477750428,0.037426767368713594,0.07295375118242353,1.6929558704792746,0.48448346263781134,0.5155165373621886,0.4103892246042403,0.0,0.0,0.49931224209078406,0.583525243578388,0.0,0.0,0.0,0.994029239303011,0.9930341125201795,0.13260704466402137,0.2520775590597142,0.6373717599391873,0.6352944070035131
25,2220.624823235564,0.03385289183455952,0.07195533403664438,1.6997698310734786,0.4755002041649653,0.5244997958350347,0.3991606093679576,0.0,0.0,0.46008020415603357,0.5845094664371773,0.0,0.0,0.0,0.9974156249816164,0.9969848958118858,0.14085935145854103,0.2607047520596462,0.630037347087211,0.6289924261828154
26,2201.096655848462,0.0354375685956883,0.07565072487455696,1.6870495248489619,0.48305430788076764,0.5169456921192324,0.41171331938227523,0.0,0.0,0.5231259968102073,0.5706902916205242,0.0,0.0,0.0,0.994127204252419,0.9931484049611554,0.13254486829166418,0.25149434975252205,0.6361392362306927,0.6341042048235657
27,2223.3988508383136,0.03563346569129505,0.072254623658961,1.694339117162665,0.4806043282972642,0.5193956717027358,0.4020034109320111,0.0,0.0,0.4574428196475441,0.5925925925925926,0.0,0.0,0.0,0.994672643494138,0.993784750743161,0.13159871708562643,0.2506733342871281,0.6373364303912478,0.6354047331169896
