Round,J_value,ARI,NMI,Entropia_Condicional,Acuracia,ER,F_measure_Weighted,F_measure_Classe_B,F_measure_Classe_M,Partition_Coefficient_PC,Modified_PC_MPC,Fuzzy_Jaccard,Fuzzy_Folkes_Mallows,Fuzzy_Rand_Frigui,Fuzzy_Rand_Hullermeier
1,0.09593959549011849,-0.0028278372914169814,0.00480380389832083,0.950266001697135,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.005272407732864675,-0.9894551845342707,1.1639817487661794e-05,0.003411717674084682,0.468359365330825,0.5312136439020767
2,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
3,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
4,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
5,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
6,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
7,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5325503106512537
8,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
9,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
10,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5325503106512537
11,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
12,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5325503106512537
13,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
14,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
15,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
16,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
17,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
18,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
19,0.004192225979692745,-0.0014269582588249756,0.0024365040086751547,0.9514518911901997,0.6274165202108963,0.37258347978910367,0.48377472508701935,0.7710583153347732,0.0,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5307557117750439
20,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
21,0.004192225979692745,0.0024029438603797937,0.005162477750374118,0.9501280857698678,0.6291739894551845,0.37082601054481545,0.4877961612197608,0.7718918918918919,0.009389671361502348,0.0035149384885764497,-0.9929701230228472,0.0,0.0,0.4683531770588381,0.5316530112131488
