Metrica,Média,Desvio Padrão,Mediana,Máximo,Mínimo
J_value,1029.0941013334746,18.743198286744338,1028.1177718792828,1069.943007592553,999.0994194670935
ARI,0.01929555232359193,0.006059178896640077,0.0193748154778327,0.032385393382545244,0.004348762390072406
NMI,0.04064700751267902,0.008507562521175826,0.04006411432417539,0.06437463569903606,0.023050042793506788
Entropia_Condicional,1.7761826614985512,0.019536846970296708,1.7799530374253982,1.8148091414696212,1.7176329248725735
Acuracia,0.468994147270995,0.010409131901041434,0.47182523478971006,0.49101674152715397,0.44875459371171905
ER,0.531005852729005,0.010409131901041447,0.5281747652102899,0.551245406288281,0.508983258472846
F_measure_Weighted,0.3690963667336356,0.03193633326681734,0.380189141179201,0.42801582563755214,0.27800524153843253
F_measure_Classe_3,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_4,0.0004065040650406504,0.002226514461403115,0.0,0.012195121951219513,0.0
F_measure_Classe_5,0.32276040678047235,0.11258451735797242,0.3607569513819514,0.5191146881287726,0.0
F_measure_Classe_6,0.6044859645880913,0.011348560830940308,0.6061191409504454,0.6195544203207038,0.5725406935598019
F_measure_Classe_7,0.0094936968009059,0.03474558282889252,0.0,0.18439716312056736,0.0
F_measure_Classe_8,0.002807017543859649,0.01537466828084677,0.0,0.08421052631578947,0.0
F_measure_Classe_9,0.0,0.0,0.0,0.0,0.0
Partition_Coefficient_PC,0.9927987438566733,0.0028690149803025362,0.9931922986633945,0.9980174516455093,0.9834163536424408
Modified_PC_MPC,0.9915985344994522,0.0033471841436862955,0.9920576817739603,0.9976870269197609,0.9806524125828476
Fuzzy_Jaccard,0.1602781467963158,0.008709795731429753,0.15928063341238602,0.1739287836627944,0.1463601853463262
Fuzzy_Folkes_Mallows,0.2816344871050667,0.01090287922291921,0.2803153465725541,0.2990084967038794,0.2635399858860259
Fuzzy_Rand_Frigui,0.6059591282156425,0.00762916965604125,0.6041440726819509,0.6233229584837641,0.5960210611369174
Fuzzy_Rand_Hullermeier,0.6056843145523838,0.007728330491364436,0.6038643533460741,0.623218435645926,0.5959036703727276
