Metrica,Média,Desvio Padrão,Mediana,Máximo,Mínimo
J_value,2207.9550402406794,14.007804107561945,2199.994013097389,2239.6848176852736,2193.6363590354254
ARI,0.035501361877173884,0.00277597356014739,0.035663656064525956,0.041288748693984086,0.027049018798979984
NMI,0.07132629995138291,0.0051792271522369555,0.0723668273460911,0.07621022969906756,0.05124588963110679
Entropia_Condicional,1.697880788188786,0.01251791809644437,1.6946812739391302,1.7461473469233748,1.684746113996033
Acuracia,0.4774942153259834,0.008620015173293175,0.4804001633319722,0.48693344222131485,0.449162923642303
ER,0.5225057846740165,0.008620015173293189,0.5195998366680278,0.5508370763576971,0.5130665577786852
F_measure_Weighted,0.39419473407314815,0.01864284387599551,0.40221703716493923,0.41171331938227523,0.36098767521816993
F_measure_Classe_3,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_4,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_5,0.43253174991251797,0.08144123256525249,0.46008020415603357,0.5231259968102073,0.2766066838046273
F_measure_Classe_6,0.5917047533520207,0.016096445515626143,0.5845094664371773,0.6210653753026635,0.5641915336571826
F_measure_Classe_7,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_8,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_9,0.0,0.0,0.0,0.0,0.0
Partition_Coefficient_PC,0.9950911802000525,0.0014997012250836203,0.9943711940959727,0.9976652112999896,0.9931339356692276
Modified_PC_MPC,0.9942730435667276,0.0017496514292642275,0.9934330597786348,0.9972760798499879,0.9919895916140988
Fuzzy_Jaccard,0.13436168809511428,0.005721318730606695,0.13223017354066446,0.15029972765945948,0.12677757238787166
Fuzzy_Folkes_Mallows,0.2536177511303265,0.006834214534590968,0.2514242709502712,0.2733545437367134,0.2426895187043665
Fuzzy_Rand_Frigui,0.6350763390571738,0.0033481751393843783,0.637259338270348,0.6382727921613562,0.6280894654662418
Fuzzy_Rand_Hullermeier,0.6333040441054076,0.0029495960403524884,0.6352051860101409,0.6362373687649778,0.6270444937739073
