Metrica,Média,Desvio Padrão,Mediana,Máximo,Mínimo
J_value,0.012981715316313465,0.035067602152191506,0.004192225979692745,0.1761295365678885,0.004192225979692745
ARI,-0.00045234699479010403,0.0017695864559362732,-0.0014269582588249756,0.0024029438603797937,-0.0028278372914169814
NMI,0.0032423403361163997,0.0012535522751881821,0.0024365040086751547,0.005162477750374118,0.0024365040086751547
Entropia_Condicional,0.9510593467616757,0.0006103499947318023,0.9514518911901997,0.9514518911901997,0.9501280857698678
Acuracia,0.62788517867604,0.0007904682690840076,0.6274165202108963,0.6291739894551845,0.6274165202108963
ER,0.37211482132396,0.0007904682690840076,0.37258347978910367,0.37258347978910367,0.37082601054481545
F_measure_Weighted,0.48484710805575054,0.001808747248016555,0.48377472508701935,0.4877961612197608,0.48377472508701935
F_measure_Classe_B,0.7712806024166715,0.00037492310058687866,0.7710583153347732,0.7718918918918919,0.7710583153347732
F_measure_Classe_M,0.002503912363067293,0.004223253005716467,0.0,0.009389671361502348,0.0
Partition_Coefficient_PC,0.003632103104862332,0.0004458842384929042,0.0035149384885764497,0.005272407732864675,0.0035149384885764497
Modified_PC_MPC,-0.9927357937902754,0.0008917684769858016,-0.9929701230228472,-0.9894551845342707,-0.9929701230228472
Fuzzy_Jaccard,7.759878325107863e-07,2.9531163481523234e-06,0.0,1.1639817487661794e-05,0.0
Fuzzy_Folkes_Mallows,0.00022744784493897882,0.0008655805169882953,0.0,0.003411717674084682,0.0
Fuzzy_Rand_Frigui,0.4683535896103038,1.5700149242619506e-06,0.4683531770588381,0.468359365330825,0.4683531770588381
Fuzzy_Rand_Hullermeier,0.5312648002838353,0.0006199548551650682,0.5309846778385603,0.5325503106512537,0.5303163444639718
