,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9
Cluster 0,2,9,215,279,93,20,0
Cluster 1,2,54,277,213,31,10,0
Cluster 2,3,42,249,432,157,22,0
Cluster 3,1,14,136,435,211,37,0
Cluster 4,6,15,357,354,29,8,0
Cluster 5,4,14,171,114,11,0,1
Cluster 6,2,15,52,371,348,78,4
