Round,J_value,ARI,NMI,Entropia_Condicional,Acuracia,ER,F_measure_Weighted,F_measure_Classe_Iris-setosa,F_measure_Classe_Iris-versicolor,F_measure_Classe_Iris-virginica,Partition_Coefficient_PC,Modified_PC_MPC,Fuzzy_Jaccard,Fuzzy_Folkes_Mallows,Fuzzy_Rand_Frigui,Fuzzy_Rand_Hullermeier
1,208.98037742404057,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280453758440099,0.8920680637660149,0.7541481775816035,0.8598490138995708,0.907552205300095,0.9078678001119134
2,208.98037719560523,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280518943010202,0.8920778414515302,0.7541502397194306,0.859850360279604,0.9075528629967063,0.9078685525539427
3,208.98037749255872,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280435378933866,0.8920653068400799,0.7541461637117158,0.8598477035546325,0.9075513933277245,0.9078669491342989
4,208.9803772042684,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280515708544059,0.8920773562816089,0.7541500768491792,0.8598502541320581,0.9075528038766503,0.907868488216052
5,208.98037742527228,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280820091342914,0.8921230137014371,0.7541583273191372,0.8598556452690319,0.9075552729939457,0.9078713872706844
6,208.98037746312167,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280439817846574,0.8920659726769862,0.7541452709758795,0.8598471239429673,0.9075509862071651,0.9078665396092503
7,208.98037739919926,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280457511111084,0.8920686266666626,0.7541472382915864,0.8598484039722606,0.9075517803914521,0.9078673715874006
8,208.9803772611766,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280497182285278,0.8920745773427916,0.7541495891366924,0.8598499353914734,0.9075526599715286,0.9078683182328174
9,208.9803774082112,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.928045459546078,0.8920681893191169,0.7541467774927781,0.8598481042775623,0.9075515897668034,0.907867173563581
10,208.98037722960055,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280764346218471,0.8921146519327706,0.7541558353526323,0.8598540205544813,0.9075543916070284,0.9078704188000792
11,208.98037719773816,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280519576413434,0.892077936462015,0.7541509324113663,0.8598508104167291,0.9075531636046152,0.9078688598460773
12,208.98037710865674,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280577163584806,0.8920865745377209,0.7541289057779502,0.8598365042813041,0.9075433135325912,0.9078588885799137
13,208.98037730113424,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280484159656769,0.8920726239485153,0.754148574126919,0.8598492745906765,0.9075522648104453,0.9078678989718432
14,208.98037729476187,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280486349614104,0.8920729524421156,0.7541488257044084,0.8598494382713034,0.9075523666428345,0.9078680055506738
15,208.98037718278115,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280523796312218,0.8920785694468327,0.7541504391597688,0.8598504903501746,0.9075529320472967,0.9078686290485466
16,208.98037734495395,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280470503881086,0.892070575582163,0.7541472986038935,0.8598484444578732,0.9075517580766553,0.9078673651543504
17,208.98037719040485,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280508647678348,0.8920762971517522,0.7541233399244288,0.8598328809373597,0.9075411356851066,0.9078565818789235
18,208.98037720962043,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.928076222760361,0.8921143341405414,0.7541577829927952,0.8598552858038399,0.9075552514122657,0.9078712927965338
19,208.98037738689322,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.928046060134512,0.892069090201768,0.7541473745435947,0.8598484928104653,0.9075518284057147,0.9078674244243814
20,208.9803772121138,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.928051316267899,0.8920769744018486,0.7541500950422946,0.8598502656985865,0.9075528213732558,0.907868502859977
21,208.9803772036321,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.9280514843891069,0.8920772265836603,0.7541495125793669,0.8598498874132593,0.9075525603063466,0.90786823878881
22,208.98037729558075,0.8342589385759397,0.8243858652031427,0.2803273642498847,0.94,0.06000000000000005,0.9398496240601505,1.0,0.9142857142857143,0.9052631578947369,0.928048580265574,0.892072870398361,0.7541486556357734,0.859849327714993,0.9075522943050539,0.9078679311079609
