Metrica,Média,Desvio Padrão,Mediana,Máximo,Mínimo
J_value,208.98037729177187,9.994794050273562e-08,208.98037727796924,208.98037749255872,208.98037710865674
ARI,0.8342589385759395,2.2584051416334807e-16,0.8342589385759397,0.8342589385759397,0.8342589385759397
NMI,0.8243858652031429,2.2584051416334807e-16,0.8243858652031427,0.8243858652031427,0.8243858652031427
Entropia_Condicional,0.2803273642498848,1.1292025708167404e-16,0.2803273642498847,0.2803273642498847,0.2803273642498847
Acuracia,0.9400000000000002,2.2584051416334807e-16,0.94,0.94,0.94
ER,0.06000000000000005,0.0,0.06000000000000005,0.06000000000000005,0.06000000000000005
F_measure_Weighted,0.9398496240601507,2.2584051416334807e-16,0.9398496240601505,0.9398496240601505,0.9398496240601505
F_measure_Classe_Iris-setosa,1.0,0.0,1.0,1.0,1.0
F_measure_Classe_Iris-versicolor,0.9142857142857144,1.1292025708167404e-16,0.9142857142857143,0.9142857142857143,0.9142857142857143
F_measure_Classe_Iris-virginica,0.9052631578947369,0.0,0.9052631578947369,0.9052631578947369,0.9052631578947369
Partition_Coefficient_PC,0.9280546387092387,1.2231326389830697e-05,0.9280504370784095,0.9280820091342914,0.9280435378933866
Modified_PC_MPC,0.8920819580638581,1.8346989584742638e-05,0.8920756556176144,0.8921230137014371,0.8920653068400799
Fuzzy_Jaccard,0.7541483736574291,7.48169490222676e-06,0.7541487581089332,0.7541597979964245,0.7541233399244288
Fuzzy_Folkes_Mallows,0.8598491505391517,4.86771496415258e-06,0.8598493950378874,0.8598565962763691,0.8598328809373597
Fuzzy_Rand_Frigui,0.9075519441042328,3.0556344431928013e-06,0.9075523304739441,0.9075560862118616,0.9075411356851066
Fuzzy_Rand_Hullermeier,0.9078676499704296,3.1823788249463108e-06,0.9078679683293174,0.9078721595302601,0.9078565818789235
