Metrica,Média,Desvio Padrão,Mediana,Máximo,Mínimo
J_value,2359.959459732524,14.32545653417993,2359.7006362548545,2380.4851961250674,2295.8302773332694
ARI,0.035158269529568555,0.0036288721656829214,0.036193907173873566,0.0396919037986712,0.026083888252355896
NMI,0.07125704067251859,0.006761497907129355,0.0736554413737869,0.07683239872848978,0.0514305021393292
Entropia_Condicional,1.697886003453598,0.016822633701563887,1.6913618877765937,1.7456740513634998,1.6836627327230649
Acuracia,0.4772492173676331,0.009119931470895884,0.4796855859534504,0.4873417721518987,0.4497754185381789
ER,0.5227507826323669,0.009119931470895893,0.5203144140465495,0.5502245814618212,0.5126582278481013
F_measure_Weighted,0.3956741749906782,0.018149640517614665,0.4029148547921769,0.41420345472833625,0.3616621139256504
F_measure_Classe_3,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_4,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_5,0.4425875893436562,0.08069340692215997,0.46589993707873856,0.5265871737028682,0.2791411042944785
F_measure_Classe_6,0.5883357558829093,0.017931382260424955,0.5841682807743122,0.6208882825526755,0.5536097212294496
F_measure_Classe_7,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_8,0.0,0.0,0.0,0.0,0.0
F_measure_Classe_9,0.0,0.0,0.0,0.0,0.0
Partition_Coefficient_PC,0.9982995048618246,0.00037310158525333633,0.9982604541622012,0.998964392477559,0.9973228144001643
Modified_PC_MPC,0.998016089005462,0.00043528518279555613,0.9979705298559014,0.9987917912238188,0.9968766168001917
Fuzzy_Jaccard,0.1348531863593811,0.005297453538701125,0.13336883529690285,0.14886558516143758,0.12759157764711787
Fuzzy_Folkes_Mallows,0.2540521064679545,0.006134105148951535,0.25266089636926403,0.27127449157222777,0.243651415080949
Fuzzy_Rand_Frigui,0.6343557308739736,0.004244829308355825,0.6368340753847115,0.63782780338381,0.6206538775221423
Fuzzy_Rand_Hullermeier,0.6343551002453721,0.0042446750000436585,0.6368333094170211,0.6378271247016609,0.6206534433040922
